step,time,dt,m_liq,m_gas,m_sol,m_slag,E_liq,E_gas,E_sol,E_slag,P_arc,E_src_liq_arc,E_src_liq_rad,E_src_liq_chem,E_src_gas_arc,E_src_gas_rad,E_src_gas_chem,E_arc_direct_sol,E_arc_discarded,E_mc_deposit,m_melted,m_resolid,E_melt_from_solid,m_alpha_clip,E_slag_intercept,E_rad_sol,E_rad_wall,E_conv_defect,E_wall_conv,E_chem_sol,E_mc_lost,E_out_conv,E_gas_abs,E_mass_liq,m_ecs_in,E_ecs_in
11, 5.010000000E+00, 1.000000000E-03, 0.000000000E+00, 2.277674127E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.875887521E+07, 5.677772288E+10, 0.000000000E+00, 8.255511000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.889326390E+04,-8.902238935E+04, 0.000000000E+00, 2.063877750E+04, 0.000000000E+00, 7.615708897E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.563256546E+04, 2.192831565E+04, 1.918765510E+07, 0.000000000E+00, 0.000000000E+00, 1.302306860E+04,-2.378981804E+07, 3.619673038E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
12, 5.011000000E+00, 1.000000000E-03, 0.000000000E+00, 2.281138436E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.870265034E+07, 5.679640605E+10, 0.000000000E+00, 8.255512100E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.897582553E+04,-8.845420634E+04, 0.000000000E+00, 2.063878025E+04, 0.000000000E+00, 7.698265033E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.551086788E+04, 2.179784853E+04, 1.914422444E+07, 0.000000000E+00, 0.000000000E+00, 1.294051522E+04,-2.386905446E+07, 3.154518160E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
13, 5.012000000E+00, 1.000000000E-03, 0.000000000E+00, 2.284749828E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.862464468E+07, 5.681510683E+10, 0.000000000E+00, 8.255513200E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.906526679E+04,-8.783374630E+04, 0.000000000E+00, 2.063878300E+04, 0.000000000E+00, 7.787700785E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.528505559E+04, 2.170263567E+04, 1.915744952E+07, 0.000000000E+00, 0.000000000E+00, 1.285108221E+04,-2.376983030E+07, 3.116911636E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
14, 5.013000000E+00, 1.000000000E-03, 0.000000000E+00, 2.288317606E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.852619947E+07, 5.683383441E+10, 0.000000000E+00, 8.255514300E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.858370166E+04,-8.708217251E+04, 0.000000000E+00, 2.063878575E+04, 0.000000000E+00, 7.306130155E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.478782983E+04, 2.170788144E+04, 1.916230063E+07, 0.000000000E+00, 0.000000000E+00, 1.333265559E+04,-2.389959968E+07, 2.914212588E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
15, 5.014000000E+00, 1.000000000E-03, 0.000000000E+00, 2.291373869E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.850508063E+07, 5.685255467E+10, 0.000000000E+00, 8.255515400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.884513278E+04,-8.582530507E+04, 0.000000000E+00, 2.063878850E+04, 0.000000000E+00, 7.567555783E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.337177814E+04, 2.201707510E+04, 1.883278731E+07, 0.000000000E+00, 0.000000000E+00, 1.307123272E+04,-2.378747925E+07,-2.740016157E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
16, 5.015000000E+00, 1.000000000E-03, 0.000000000E+00, 2.295210766E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.847766356E+07, 5.687126762E+10, 0.000000000E+00, 8.255516500E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.885201889E+04,-8.522764654E+04, 0.000000000E+00, 2.063879125E+04, 0.000000000E+00, 7.574436389E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.331267561E+04, 2.188060276E+04, 1.881712648E+07, 0.000000000E+00, 0.000000000E+00, 1.306435486E+04,-2.383459182E+07,-3.368664156E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
17, 5.016000000E+00, 1.000000000E-03, 0.000000000E+00, 2.299087900E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.845038394E+07, 5.688997310E+10, 0.000000000E+00, 8.255517600E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.897585816E+04,-8.465616454E+04, 0.000000000E+00, 2.063879400E+04, 0.000000000E+00, 7.698270162E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.322361855E+04, 2.173405436E+04, 1.881004847E+07, 0.000000000E+00, 0.000000000E+00, 1.294052384E+04,-2.377190391E+07,-3.354191176E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
18, 5.017000000E+00, 1.000000000E-03, 0.000000000E+00, 2.302839990E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.842345598E+07, 5.690867142E+10, 0.000000000E+00, 8.255518700E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.883139311E+04,-8.410777407E+04, 0.000000000E+00, 2.063879675E+04, 0.000000000E+00, 7.553799611E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.313536676E+04, 2.158923447E+04, 1.880314232E+07, 0.000000000E+00, 0.000000000E+00, 1.308499714E+04,-2.380377546E+07,-3.318269176E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
19, 5.018000000E+00, 1.000000000E-03, 0.000000000E+00, 2.306574242E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.839677978E+07, 5.692736261E+10, 0.000000000E+00, 8.255519800E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.890019562E+04,-8.356281177E+04, 0.000000000E+00, 2.063879950E+04, 0.000000000E+00, 7.622596615E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.304857643E+04, 2.144691252E+04, 1.879784876E+07, 0.000000000E+00, 0.000000000E+00, 1.301620288E+04,-2.378810181E+07,-3.292367616E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
20, 5.019000000E+00, 1.000000000E-03, 0.000000000E+00, 2.310377523E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.837024465E+07, 5.694604644E+10, 0.000000000E+00, 8.255520900E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.892084093E+04,-8.301580813E+04, 0.000000000E+00, 2.063880225E+04, 0.000000000E+00, 7.643236433E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.296298728E+04, 2.130660009E+04, 1.879365967E+07, 0.000000000E+00, 0.000000000E+00, 1.299556582E+04,-2.381652066E+07,-3.277546755E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
21, 5.020000000E+00, 1.000000000E-03, 0.000000000E+00, 2.314276408E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.834326470E+07, 5.696472270E+10, 0.000000000E+00, 8.255522000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.868006139E+04,-8.244460500E+04, 0.000000000E+00, 2.063880500E+04, 0.000000000E+00, 7.402451393E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.287838156E+04, 2.116769111E+04, 1.878543076E+07, 0.000000000E+00, 0.000000000E+00, 1.323635361E+04,-2.383641643E+07,-3.321401436E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
22, 5.021000000E+00, 1.000000000E-03, 0.000000000E+00, 2.317996725E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.831635186E+07, 5.698339193E+10, 0.000000000E+00, 8.255523100E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.901716841E+04,-8.193074591E+04, 0.000000000E+00, 2.063880775E+04, 0.000000000E+00, 7.739552906E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.279325914E+04, 2.102786055E+04, 1.877376002E+07, 0.000000000E+00, 0.000000000E+00, 1.289925484E+04,-2.376546351E+07,-3.313986861E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
23, 5.022000000E+00, 1.000000000E-03, 0.000000000E+00, 2.321672941E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.829038995E+07, 5.700205410E+10, 0.000000000E+00, 8.255524200E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.898965652E+04,-8.141321968E+04, 0.000000000E+00, 2.063881050E+04, 0.000000000E+00, 7.712035524E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.270889593E+04, 2.088924691E+04, 1.876583204E+07, 0.000000000E+00, 0.000000000E+00, 1.292677498E+04,-2.381628184E+07,-3.218057342E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
24, 5.023000000E+00, 1.000000000E-03, 0.000000000E+00, 2.325435501E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.826437342E+07, 5.702070898E+10, 0.000000000E+00, 8.255525300E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.878327492E+04,-8.088810507E+04, 0.000000000E+00, 2.063881325E+04, 0.000000000E+00, 7.505648419E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.262741017E+04, 2.075538257E+04, 1.875846255E+07, 0.000000000E+00, 0.000000000E+00, 1.313316483E+04,-2.374586755E+07,-3.222844099E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
25, 5.024000000E+00, 1.000000000E-03, 0.000000000E+00, 2.329071117E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.823909207E+07, 5.703935683E+10, 0.000000000E+00, 8.255526400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.877640181E+04,-8.038238527E+04, 0.000000000E+00, 2.063881600E+04, 0.000000000E+00, 7.498769813E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.254626105E+04, 2.062228086E+04, 1.875038682E+07, 0.000000000E+00, 0.000000000E+00, 1.314004619E+04,-2.382907395E+07,-3.148527239E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
26, 5.025000000E+00, 1.000000000E-03, 0.000000000E+00, 2.332593986E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.821460886E+07, 5.705799788E+10, 0.000000000E+00, 8.255527500E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.852874249E+04,-7.990835178E+04, 0.000000000E+00, 2.063881875E+04, 0.000000000E+00, 7.251104988E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.246740835E+04, 2.049295405E+04, 1.874962774E+07, 0.000000000E+00, 0.000000000E+00, 1.338771376E+04,-2.379212284E+07,-3.067928893E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
27, 5.026000000E+00, 1.000000000E-03, 0.000000000E+00, 2.336294571E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.818946242E+07, 5.707663169E+10, 0.000000000E+00, 8.255528600E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.906535831E+04,-7.939586532E+04, 0.000000000E+00, 2.063882150E+04, 0.000000000E+00, 7.787715313E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.239090127E+04, 2.036770323E+04, 1.875595054E+07, 0.000000000E+00, 0.000000000E+00, 1.285110619E+04,-2.379294815E+07,-3.133680024E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
28, 5.027000000E+00, 1.000000000E-03, 0.000000000E+00, 2.339900874E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.816467838E+07, 5.709525851E+10, 0.000000000E+00, 8.255529700E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.908600367E+04,-7.890761159E+04, 0.000000000E+00, 2.063882425E+04, 0.000000000E+00, 7.808355175E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.231337176E+04, 2.024057206E+04, 1.876554128E+07, 0.000000000E+00, 0.000000000E+00, 1.283046908E+04,-2.375657078E+07,-3.096708498E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
29, 5.028000000E+00, 1.000000000E-03, 0.000000000E+00, 2.343604470E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.813964364E+07, 5.711387807E+10, 0.000000000E+00, 8.255530800E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.864571524E+04,-7.841022195E+04, 0.000000000E+00, 2.063882700E+04, 0.000000000E+00, 7.368061239E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.223726708E+04, 2.011550766E+04, 1.876419818E+07, 0.000000000E+00, 0.000000000E+00, 1.327076576E+04,-2.385940935E+07,-3.121141817E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
30, 5.029000000E+00, 1.000000000E-03, 0.000000000E+00, 2.347197207E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.811493239E+07, 5.713249067E+10, 0.000000000E+00, 8.255531900E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.863884211E+04,-7.793392186E+04, 0.000000000E+00, 2.063882975E+04, 0.000000000E+00, 7.361182611E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.216095432E+04, 1.999041924E+04, 1.875499391E+07, 0.000000000E+00, 0.000000000E+00, 1.327764714E+04,-2.374289999E+07,-3.088067036E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
31, 5.030000000E+00, 1.000000000E-03, 0.000000000E+00, 2.350838074E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.809031523E+07, 5.715109615E+10, 0.000000000E+00, 8.255533000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.870764470E+04,-7.745014103E+04, 0.000000000E+00, 2.063883250E+04, 0.000000000E+00, 7.429979700E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.208585807E+04, 1.986741385E+04, 1.874274247E+07, 0.000000000E+00, 0.000000000E+00, 1.320885280E+04,-2.389600333E+07,-3.077973584E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
32, 5.031000000E+00, 1.000000000E-03, 0.000000000E+00, 2.354326409E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.806631536E+07, 5.716969488E+10, 0.000000000E+00, 8.255534100E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.903787255E+04,-7.699277614E+04, 0.000000000E+00, 2.063883525E+04, 0.000000000E+00, 7.760202054E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.201152278E+04, 1.974543125E+04, 1.873215318E+07, 0.000000000E+00, 0.000000000E+00, 1.287863320E+04,-2.377710081E+07,-3.015487245E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
33, 5.032000000E+00, 1.000000000E-03, 0.000000000E+00, 2.357874046E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.804229007E+07, 5.718828668E+10, 0.000000000E+00, 8.255535200E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.854254698E+04,-7.653175484E+04, 0.000000000E+00, 2.063883800E+04, 0.000000000E+00, 7.264870976E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.193907141E+04, 1.962655934E+04, 1.872317869E+07, 0.000000000E+00, 0.000000000E+00, 1.337396702E+04,-2.378049784E+07,-3.017376668E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
34, 5.033000000E+00, 1.000000000E-03, 0.000000000E+00, 2.361396379E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.801833688E+07, 5.720687163E+10, 0.000000000E+00, 8.255536300E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.859071074E+04,-7.607678674E+04, 0.000000000E+00, 2.063884075E+04, 0.000000000E+00, 7.313029239E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.186695565E+04, 1.950842090E+04, 1.871371699E+07, 0.000000000E+00, 0.000000000E+00, 1.332581151E+04,-2.398278958E+07,-3.009498286E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
35, 5.034000000E+00, 1.000000000E-03, 0.000000000E+00, 2.365001850E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.799431320E+07, 5.722544948E+10, 0.000000000E+00, 8.255537400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.854255991E+04,-7.560987731E+04, 0.000000000E+00, 2.063884350E+04, 0.000000000E+00, 7.264872912E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.179551118E+04, 1.939118168E+04, 1.870316223E+07, 0.000000000E+00, 0.000000000E+00, 1.337397059E+04,-2.391725631E+07,-3.015896071E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
36, 5.035000000E+00, 1.000000000E-03, 0.000000000E+00, 2.368416082E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.797074452E+07, 5.724402076E+10, 0.000000000E+00, 8.255538500E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.857008484E+04,-7.518257912E+04, 0.000000000E+00, 2.063884625E+04, 0.000000000E+00, 7.292392342E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.172437324E+04, 1.927433866E+04, 1.869741109E+07, 0.000000000E+00, 0.000000000E+00, 1.334645391E+04,-2.413866626E+07,-2.969674445E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
